City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
331,Berbera,SO,10.4396,45.0143,306.83,38,2,6.29
332,Port Hardy,CA,50.6996,-127.4199,292.25,77,0,2.06
333,Arkhara,RU,49.4212,130.0842,294.37,97,100,2.23
334,Jega,NG,12.2175,4.3792,296.37,84,100,2.71
335,Esperance,AU,-33.8667,121.9,287.13,81,1,5.53
336,Gavardo,IT,45.5894,10.4426,300.5,57,20,2.06
337,Shenjiamen,CN,29.9576,122.298,299.7,88,0,3.14
338,Eldorado,BR,-23.7869,-54.2836,302.42,35,100,1.53
339,San Jeronimo,PE,-11.9472,-75.2829,292.26,18,4,2.74
340,Luganville,VU,-15.5333,167.1667,298.63,85,100,1.87
341,La Ronge,CA,55.1001,-105.2842,297.27,33,20,4.12
342,Grafenau,DE,48.8577,13.3974,293.12,66,100,2.05
343,Diapaga,BF,12.0708,1.7889,298.29,83,83,2.84
344,Ahipara,NZ,-35.1667,173.1667,286.65,73,99,4.79
345,Sabang,ID,5.8933,95.3214,300.44,78,100,10.11
346,Guarapari,BR,-20.6667,-40.4975,296.98,76,67,7.99
347,Hinton,CA,53.4001,-117.5857,306.25,19,3,1.41
348,Sirmaur,IN,24.85,81.3833,301.14,76,93,2.08
349,Omboue,GA,-1.5746,9.2618,295.27,84,89,2.61
350,Yulara,AU,-25.2406,130.9889,281.81,34,89,4.32
351,Kirakira,SB,-10.4544,161.9205,299.29,85,79,3.97
352,Thul,PK,28.2403,68.7759,305.49,62,100,2.24
353,Miri,MY,4.4148,114.0089,297.23,100,20,1.54
354,Veraval,IN,20.9,70.3667,300.24,81,90,4.8
355,Half Moon Bay,US,37.4636,-122.4286,300.96,71,75,7.2
356,Coquimbo,CL,-29.9533,-71.3436,289.0,67,0,5.14
357,Chara,RU,56.9064,118.2631,290.56,71,100,0.97
358,Zyryanka,RU,65.75,150.85,283.85,60,1,4.9
359,Asyut,EG,27.181,31.1837,307.25,14,0,2.86
360,Porto Novo,BJ,6.4965,2.6036,299.05,78,100,4.47
361,Lanzhou,CN,36.0564,103.7922,293.19,60,69,1.66
362,Kayes,ML,14.0,-11.0,300.8,71,51,4.11
363,Flinders,AU,-34.5833,150.8552,283.25,83,61,2.68
364,Cefalu,IT,38.0386,14.0229,302.34,81,0,1.34
365,Miramar,US,25.9873,-80.2323,307.05,67,2,2.24
366,Kayerkan,RU,69.3497,87.7602,282.65,83,1,2.97
367,Lambarene,GA,-0.7001,10.2406,296.35,76,84,1.98
